"ServerName","Processor","Model","Manufacturer","PhysicalCores","CPU_L2CacheSize","CPU_L3CacheSize","Sockets","LogicalCores","OS_Name","OS_Version","TotalPhysical_Memory_GB","TotalVirtual_Memory_MB","TotalVisable_Memory_MB"
"AFSSUSAS0001","Intel(R) Xeon(R) CPU           E5335  @ 2.00GHz","Intel64 Family 6 Model 15 Stepping 7","GenuineIntel","4","8192","0","CPU1","4","Microsoft Windows Server 2008 R2 Standard ","6.1.7601","4","8","4"
"AFSSUSAS0001","Intel(R) Xeon(R) CPU           E5335  @ 2.00GHz","Intel64 Family 6 Model 15 Stepping 7","GenuineIntel","4","8192","0","CPU2","4","Microsoft Windows Server 2008 R2 Standard ","6.1.7601","4","8","4"
